,Region,Org Code,Provider name,Modality,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Year
0,-,-,ENGLAND,Computerized Axial Tomography,0,0,0,1,1,1,1,1,1,1,1,1,1
1,-,-,ENGLAND,Diagnostic Ultrasonography,5,5,7,8,11,12,13,13,12,13,11,12,10
2,-,-,ENGLAND,Fluoroscopy,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-,-,ENGLAND,Magnetic Resonance Imaging,8,8,12,14,17,17,17,18,18,21,17,16,16
4,-,-,ENGLAND,Medical Photography,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-,-,ENGLAND,Nuclear Medicine Procedure,8,10,14,17,18,18,16,17,15,20,15,15,16
6,-,-,ENGLAND,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-,-,ENGLAND,Positron Emission Tomography,7,7,7,7,7,9,8,8,8,8,7,8,8
8,-,-,ENGLAND,Single Photon Emission Computerized Tomography,7,8,12,14,15,15,14,13,13,16,11,12,13
9,,,,,,,,,,,,,,,,,
10,Y56,NT9,Alliance Medical,Computerized Axial Tomography,1,1,1,1,2,2,2,2,3,2,3,2,2
11,Y56,NT9,Alliance Medical,Diagnostic Ultrasonography,19,63,82,.,.,4,10,15,9,9,7,8,10
12,Y56,NT9,Alliance Medical,Magnetic Resonance Imaging,8,6,7,11,15,13,15,17,15,10,9,18,12
13,Y56,NT9,Alliance Medical,Plain Radiography,.,.,.,114,30,49.5,45,32,60,37,13,18,48
14,Y56,NT9,Alliance Medical,Positron Emission Tomography,7,7,8,8,8,11,8,8,8,10,11,8,9
15,Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Diagnostic Ultrasonography,8,5,4,5,7,6,7,8,8,10,8,8,7
