,Region,Org Code,Modality,Month,MedianWaitDays,Year,Date
0,Y56,NT9,Computerized Axial Tomography,Apr,1,2020,2020-04
2,Y56,NT9,Magnetic Resonance Imaging,Apr,8,2020,2020-04
4,Y56,NT9,Positron Emission Tomography,Apr,7,2020,2020-04
5,Y56,RF4,Computerized Axial Tomography,Apr,0,2020,2020-04
8,Y56,RF4,Magnetic Resonance Imaging,Apr,17,2020,2020-04
12,Y56,R1H,Computerized Axial Tomography,Apr,0,2020,2020-04
15,Y56,R1H,Magnetic Resonance Imaging,Apr,16,2020,2020-04
18,Y56,R1H,Positron Emission Tomography,Apr,11,2020,2020-04
20,Y56,NT4,Computerized Axial Tomography,Apr,0,2020,2020-04
23,Y56,NT4,Magnetic Resonance Imaging,Apr,0,2020,2020-04
26,Y56,RQM,Computerized Axial Tomography,Apr,0,2020,2020-04
29,Y56,RQM,Magnetic Resonance Imaging,Apr,4,2020,2020-04
34,Y56,RJ6,Computerized Axial Tomography,Apr,0,2020,2020-04
37,Y56,RJ6,Magnetic Resonance Imaging,Apr,0,2020,2020-04
39,Y56,RVR,Computerized Axial Tomography,Apr,0,2020,2020-04
42,Y56,RVR,Magnetic Resonance Imaging,Apr,27.5,2020,2020-04
46,Y56,RP4,Computerized Axial Tomography,Apr,0,2020,2020-04
49,Y56,RP4,Magnetic Resonance Imaging,Apr,6,2020,2020-04
53,Y56,RJ1,Computerized Axial Tomography,Apr,0,2020,2020-04
56,Y56,RJ1,Magnetic Resonance Imaging,Apr,5,2020,2020-04
59,Y56,RJ1,Positron Emission Tomography,Apr,17.5,2020,2020-04
65,Y56,RQX,Computerized Axial Tomography,Apr,0,2020,2020-04
68,Y56,RQX,Magnetic Resonance Imaging,Apr,1,2020,2020-04
72,Y56,RYJ,Computerized Axial Tomography,Apr,0,2020,2020-04
75,Y56,RYJ,Magnetic Resonance Imaging,Apr,3,2020,2020-04
78,Y56,RYJ,Positron Emission Tomography,Apr,15,2020,2020-04
83,Y56,NV1,Magnetic Resonance Imaging,Apr,23,2020,2020-04
85,Y56,RJZ,Computerized Axial Tomography,Apr,0,2020,2020-04
88,Y56,RJZ,Magnetic Resonance Imaging,Apr,12,2020,2020-04
91,Y56,RJZ,Positron Emission Tomography,Apr,11,2020,2020-04
93,Y56,RAX,Computerized Axial Tomography,Apr,0,2020,2020-04
96,Y56,RAX,Magnetic Resonance Imaging,Apr,1,2020,2020-04
100,Y56,RJ2,Computerized Axial Tomography,Apr,0,2020,2020-04
103,Y56,RJ2,Magnetic Resonance Imaging,Apr,6,2020,2020-04
108,Y56,R1K,Computerized Axial Tomography,Apr,0,2020,2020-04
111,Y56,R1K,Magnetic Resonance Imaging,Apr,3,2020,2020-04
116,Y56,RP6,Computerized Axial Tomography,Apr,0,2020,2020-04
119,Y56,RP6,Magnetic Resonance Imaging,Apr,34,2020,2020-04
122,Y56,RAP,Computerized Axial Tomography,Apr,0,2020,2020-04
125,Y56,RAP,Magnetic Resonance Imaging,Apr,1,2020,2020-04
133,Y56,NVC,Magnetic Resonance Imaging,Apr,4,2020,2020-04
138,Y56,RT3,Magnetic Resonance Imaging,Apr,1.5,2020,2020-04
143,Y56,RAL,Computerized Axial Tomography,Apr,0,2020,2020-04
146,Y56,RAL,Magnetic Resonance Imaging,Apr,7,2020,2020-04
149,Y56,RAL,Positron Emission Tomography,Apr,6,2020,2020-04
151,Y56,RAN,Computerized Axial Tomography,Apr,5,2020,2020-04
154,Y56,RAN,Magnetic Resonance Imaging,Apr,7,2020,2020-04
158,Y56,RV5,Magnetic Resonance Imaging,Apr,42.5,2020,2020-04
159,Y56,NT3,Computerized Axial Tomography,Apr,4,2020,2020-04
162,Y56,NT3,Magnetic Resonance Imaging,Apr,3,2020,2020-04
164,Y56,RJ7,Computerized Axial Tomography,Apr,0,2020,2020-04
167,Y56,RJ7,Magnetic Resonance Imaging,Apr,37,2020,2020-04
170,Y56,RJ7,Positron Emission Tomography,Apr,11,2020,2020-04
172,Y56,RAS,Computerized Axial Tomography,Apr,0,2020,2020-04
175,Y56,RAS,Magnetic Resonance Imaging,Apr,2,2020,2020-04
179,Y56,RPY,Computerized Axial Tomography,Apr,19,2020,2020-04
182,Y56,RPY,Magnetic Resonance Imaging,Apr,20,2020,2020-04
185,Y56,RPY,Positron Emission Tomography,Apr,11,2020,2020-04
187,Y56,RRV,Computerized Axial Tomography,Apr,0,2020,2020-04
190,Y56,RRV,Magnetic Resonance Imaging,Apr,0,2020,2020-04
193,Y56,RRV,Positron Emission Tomography,Apr,0,2020,2020-04
204,Y58,NT9,Magnetic Resonance Imaging,Apr,6,2020,2020-04
206,Y58,NT9,Positron Emission Tomography,Apr,9,2020,2020-04
207,Y58,NT4,Computerized Axial Tomography,Apr,6,2020,2020-04
210,Y58,NT4,Magnetic Resonance Imaging,Apr,3,2020,2020-04
217,Y58,AC7,Computerized Axial Tomography,Apr,3,2020,2020-04
219,Y58,AC7,Magnetic Resonance Imaging,Apr,10.5,2020,2020-04
221,Y58,AC7,Positron Emission Tomography,Apr,3,2020,2020-04
222,Y58,RBD,Computerized Axial Tomography,Apr,0,2020,2020-04
225,Y58,RBD,Magnetic Resonance Imaging,Apr,6,2020,2020-04
227,Y58,RBD,Positron Emission Tomography,Apr,6,2020,2020-04
230,Y58,RTE,Computerized Axial Tomography,Apr,1,2020,2020-04
233,Y58,RTE,Magnetic Resonance Imaging,Apr,5.5,2020,2020-04
236,Y58,RTE,Positron Emission Tomography,Apr,5,2020,2020-04
238,Y58,RN3,Computerized Axial Tomography,Apr,0,2020,2020-04
241,Y58,RN3,Magnetic Resonance Imaging,Apr,4.5,2020,2020-04
245,Y58,RVJ,Computerized Axial Tomography,Apr,0,2020,2020-04
